Species,Family,Habit,CommonName
Tsuga mertensiana,Pinaceae,T,Western Hemlock
Typha,Typhaceae,PH,Cattail
Umbellularia californica,Lauraceae,T,California Bay
Uropappus lindleyi,Asteraceae,AH,Silver Puffs
Vaccinium ovatum,Ericaceae,S,Evergreen Huckleberry
Vaccinium parvifolium,Ericaceae,S,Red Huckleberry
Veratrum californicum,Melanthiaceae,PH,California Corn-lily
Verbascum thapsus,Scrophulariaceae,BH,Woolly Mullein
Verbena lasiostachys,Verbenaceae,AH,Western Verbena
Veronica anagallis-aquatica,Plantaginaceae,PH,Water or Common Speedwell
Vicia sativa,Fabaceae,AH,Common Vetch
Vicia villosa,Fabaceae,AH,Winter/Hairy Vetch
Viola purpurea,Violaceae,PH,Goosefoot Violet
Vitis californica,Vitaceae,PV,California Wild Grape
Vulpia,Poaceae,AG,Fescue
Washingtonia robusta,Arecaceae,T,Mexican Fan Palm
Woodwardia fimbriata,Blechnaceae,PF,Giant Chain Fern
Xanthium,Asteraceae,AH,Spiny or Spring Clotbur
Yucca brevifolia,Agavaceae,T,Joshua Tree
