Species,Family,Habit,CommonName
Chrysolepis chrysophylla,Fagaceae,T,Giant Chinquapin
Chrysolepis sempervirens,Fagaceae,S,Bush Chinquapin
Cirsium arvense,Asteraceae,BH,Canada Thistle
Cirsium occidentale,Asteraceae,BH,California Thistle
Cirsium vulgare,Asteraceae,BH,Bull Thistle
Clarkia,Onagraceae,AH,Clarkia
Claytonia parviflora,Montiaceae,AH,Small-flowered Miner's Lettuce
Claytonia perfoliata,Montiaceae,AH,Miner's Lettuce
Clematis lasiantha,Ranunculaceae,PV,Pipestem Clematis
Clematis ligusticifolia,Ranunculaceae,PV,"Virgin’s Bower, Old Man’s Beard"
Collinsia heterophylla,Plantaginaceae,AH,Chinese Houses
Collomia grandiflora,Plantaginaceae,AH,Large-flowered Collomia
Conium maculatum,Apiaceae,AH,Poison-hemlock
Convolvulus arvensis,Convolvulaceae,PV,Bindweed
Conyza canadensis,Asteraceae,AH,Common Horseweed
Corallorhiza maculata,Orchidaceae,PH,Spotted Coralroot
Cordylanthus rigidus,Orobanchaceae,AH,Rigid Birds-beak
Corethrogyne filaginifolia,Asteraceae,PH,California Cudweed-aster
Cornus nuttallii,Cornaceae,T,Western Dogwood
Cornus sericea,Cornaceae,S,Creek Dogwood
Corylus cornuta,Betulaceae,S,Beaked Hazelnut
Crassula connata,Crassulaceae,AH,Pygmy [Sand-]Weed
Croton californicus,Euphorbiaceae,PH,California Croton
Cryptantha,Boraginaceae,AH,Forget-Me-Nots
Cucurbita foetidissima,Cucurbitaceae,PV,Calabazilla
Cuscuta californica,Convolvulaceae,AV,California Dodder
Cylindropuntia bigelovii,Cactaceae,S,Teddybear Cholla
Cynara cardunculus,Asteraceae,PH,Artichoke Thistle
Cynodon dactylon,Poaceae,PG,Bermuda Grass
Cynoglossum grande,Boraginaceae,PH,Hound's Tongue
Cyperus eragrostis,Cyperaceae,PG,Umbrella-sedge
Cytisus scoparius,Fabaceae,S,Scotch Broom
Darlingtonia californica,Sarraceniaceae,PH,California Pitcher Plant
Datisca glomerata,Datiscaceae,PH,Durango Root
Datura wrightii,Solanaceae,AH,Jimson Weed
Daucus pusillus,Apiaceae,AH,Southwestern Carrot
Deinandra fasciculata,Asteraceae,AH,Fasciculed Tarplant
Delphinium cardinale,Ranunculaceae,PH,Scarlet or Cardinal Larkspur
Delphinium nudicaule,Ranunculaceae,PH,Canyon Larkspur
Delphinium parishii,Ranunculaceae,PH,Pale-flowered Larkspur
Delphinium parryi,Ranunculaceae,PH,Parry Larkspur
Dendromecon rigida,Papaveraceae,S,Bush Poppy
Dicentra formosa,Papaveraceae,PH,Bleeding Heart
Dichelostemma capitatum,Themidaceae,PG,Blue Dicks
Diplacus aurantiacus,Phrymaceae,S,Bush Monkeyflower
Diplacus calycinus,Phrymaceae,S,Fuzzy Bush Monkeyflower
Diplacus longiflorus,Phrymaceae,S,Sticky Bush Monkeyflower
Dipsacus fullonum,Dipsacaceae,BH,Teasel
Distichlis spicata,Poaceae,PG,Saltgrass
Dittrichia graveolens,Asteraceae,PH,Stinkwort
Drymocallis glandulosa,Rosaceae,PH,Sticky Cinquifoil
Dryopteris arguta,Dryopteridaceae,PF,Coastal or Marginal Wood Fern
Dudleya cymosa,Crassulaceae,PH,Canyon Live-forever
Dudleya pulverulenta,Crassulaceae,PH,Chalky Live-forever
Ehrendorferia chrysantha,Fumariaceae,PH,Golden Eardrops
Eleocharis macrostachya,Cyperaceae,PG,Common Spikerush
Eleocharis parishii,Cyperaceae,PG,Parish Spikerush
Elymus caput-medusae,Poaceae,PG,Medusa Head
Elymus condensatus,Poaceae,PG,Giant Wildrye
Elymus elymoides,Poaceae,PG,Bottlebrush Squirreltail
Elymus glaucus,Poaceae,PG,Blue or Woodland Wildrye
Elymus triticoides,Poaceae,PG,Creeping Wildrye
Emmenanthe penduliflora,Boraginaceae,AH,Whispering Bells
Encelia californica,Asteraceae,S,California Bush Sunflower
Ephedra viridis,Ephedraceae,S,Green Ephedra or Mormon-tea
Epilobium canum,Onagraceae,PH,California Fuchsia
Epilobium ciliatum,Onagraceae,AH,Northern Willow-herb
Epipactis gigantea,Orchidaceae,PH,Stream Orchid
Equisetum arvense,Equisetaceae,PF,Common Horsetail Rush
