Scientific Name,Common Name,Habit,Family
Chamaesyce  albomarginata,Rattlesnake Spurge,AH,Euphorbiaceae
Chamerion  angustifolium,Fireweed,PH,Onagraceae
Chenopodium album,"Lamb’s Quarters, Pigweed",AH,Chenopodiaceae
Chenopodium californicum,"California Goosefoot, Soap Plant",PH,Chenopodiaceae
Chenopodium murale,Nettle-leaved Goosefoot,AH,Chenopodiaceae
Chlorogalum pomeridianum,Soap Lily/Plant,PG,Agavaceae
Chrysolepis chrysophylla,Giant Chinquapin,T,Fagaceae
Chrysolepis sempervirens,Bush Chinquapin,S,Fagaceae
Cirsium arvense,Canada Thistle,BH,Asteraceae
Cirsium occidentale,California Thistle,BH,Asteraceae
Cirsium vulgare,Bull Thistle,BH,Asteraceae
Clarkia spp.,Clarkia,AH,Onagraceae
Claytonia parviflora,Small-flowered Miner's Lettuce,AH,Montiaceae
Claytonia perfoliata,Miner's Lettuce,AH,Montiaceae
Clematis lasiantha,Pipestem Clematis,PV,Ranunculaceae
Clematis ligusticifolia,"Virgin’s Bower, Old Man’s Beard",PV,Ranunculaceae
Collinsia heterophylla,Chinese Houses,AH,Plantaginaceae
Collomia grandiflora,Large-flowered Collomia,AH,Plantaginaceae
Conium maculatum,Poison-hemlock,AH,Apiaceae
Convolvulus arvensis,Bindweed,PV,Convolvulaceae
Conyza  canadensis,Common Horseweed,AH,Asteraceae
Corallorhiza maculata,Spotted Coralroot,PH,Orchidaceae
Cordylanthus rigidus,Rigid Birds-beak,AH,Orobanchaceae
Corethrogyne filaginifolia,California Cudweed-aster,PH,Asteraceae
Cornus nuttallii,Western Dogwood,T,Cornaceae
Cornus sericea,Creek Dogwood,S,Cornaceae
Corylus cornuta,Beaked Hazelnut,S,Betulaceae
Crassula connata,Pygmy [Sand-]Weed,AH,Crassulaceae
Croton californicus,California Croton,PH,Euphorbiaceae
Cryptantha spp.,Forget-Me-Nots,AH,Boraginaceae
Cucurbita foetidissima,Calabazilla,PV,Cucurbitaceae
Cuscuta californica,California Dodder,AV,Convolvulaceae
Cylindropuntia bigelovii,Teddybear Cholla,S,Cactaceae
Cynara cardunculus,Artichoke Thistle,PH,Asteraceae
Cynodon dactylon,Bermuda Grass,PG,Poaceae
Cynoglossum grande,Hound's Tongue,PH,Boraginaceae
Cyperus eragrostis,Umbrella-sedge,PG,Cyperaceae
Cytisus scoparius,Scotch Broom,S,Fabaceae
Darlingtonia californica,California Pitcher Plant,PH,Sarraceniaceae
Datisca glomerata,Durango Root,PH,Datiscaceae
Datura wrightii,Jimson Weed,AH,Solanaceae
Daucus pusillus,Southwestern Carrot,AH,Apiaceae
Deinandra fasciculata,Fasciculed Tarplant,AH,Asteraceae
Delphinium cardinale,Scarlet or Cardinal Larkspur,PH,Ranunculaceae
Delphinium nudicaule,Canyon Larkspur,PH,Ranunculaceae
Delphinium parishii,Pale-flowered Larkspur,PH,Ranunculaceae
Delphinium parryi,Parry Larkspur,PH,Ranunculaceae
Dendromecon rigida,Bush Poppy,S,Papaveraceae
Dicentra formosa,Bleeding Heart,PH,Papaveraceae
Dichelostemma capitatum,Blue Dicks,PG,Themidaceae
Diplacus  aurantiacus,Bush Monkeyflower,S,Phrymaceae
Diplacus  calycinus,Fuzzy Bush Monkeyflower,S,Phrymaceae
Diplacus  longiflorus,Sticky Bush Monkeyflower,S,Phrymaceae
Dipsacus fullonum & sativus,Teasel,BH,Dipsacaceae
Distichlis spicata,Saltgrass,PG,Poaceae
Dittrichia graveolens,Stinkwort,PH,Asteraceae
Drymocallis glandulosa,Sticky Cinquifoil,PH,Rosaceae
Dryopteris arguta,Coastal or Marginal Wood Fern,PF,Dryopteridaceae
Dudleya cymosa,Canyon Live-forever,PH,Crassulaceae
Dudleya pulverulenta,Chalky Live-forever,PH,Crassulaceae
Ehrendorferia chrysantha,Golden Eardrops,PH,Fumariaceae
Eleocharis macrostachya,Common Spikerush,PG,Cyperaceae
Eleocharis parishii,Parish Spikerush,PG,Cyperaceae
Elymus caput-medusae,Medusa Head,PG,Poaceae
Elymus condensatus,Giant Wildrye,PG,Poaceae
Elymus elymoides,Bottlebrush Squirreltail,PG,Poaceae
Elymus glaucus,Blue or Woodland Wildrye,PG,Poaceae
Elymus triticoides,Creeping Wildrye,PG,Poaceae
Emmenanthe penduliflora,Whispering Bells,AH,Boraginaceae
Encelia californica,California Bush Sunflower,S,Asteraceae
Ephedra viridis,Green Ephedra or Mormon-tea,S,Ephedraceae
Epilobium canum,California Fuchsia,PH,Onagraceae
Epilobium ciliatum,Northern Willow-herb,AH,Onagraceae
Epipactis gigantea,Stream Orchid,PH,Orchidaceae
Equisetum arvense,Common Horsetail Rush,PF,Equisetaceae
Equisetum laevigatum,Smooth Scouring-Rush,PF,Equisetaceae
Eremalche rotundifolia,Desert Five-spot,AH,Malvaceae
Eremocarpus  setiger,"Dove Weed, Turkey Mullein",AH,Euphorbiaceae
Eremothera boothii sspp.,Booth Shreading Primrose,AH,Onagraceae
Eriastrum signatum,Maroon-spotted Woolly Star,AH,Polemoniaceae
Ericameria bloomeri,Bloomer's Goldenbush,S,Asteraceae
Ericameria linearifolia,"Interior Goldenbush, Stenotopsis",S,Asteraceae
Ericameria nauseosa,Rubber Rabbitbrush,S,Asteraceae
Erigeron foliosus,Leafy Fleabane or Daisy,PH,Asteraceae
Eriodictyon californicum,California Yerba Santa,S,Boraginaceae
Eriodictyon crassifolium,Thickleaf Yerba Santa,S,Boraginaceae
Eriogonum spp.,annual buckwheat species,AH,Polygonaceae
Eriogonum cinereum,Ash or Gray Coast Buckwheat,S,Polygonaceae
Eriogonum elongatum,Long-stemmed Buckwheat,PH,Polygonaceae
Eriogonum fasciculatum,Leafy California Buckwheat,S,Polygonaceae
Eriogonum nudum,Barestem Buckwheat,PH,Polygonaceae
Eriogonum parvifolium,Dune Buckwheat,S,Polygonaceae
Eriogonum umbellatum,Munz Yellow Buckwheat,S,Polygonaceae
Eriophyllum confertiflorum,Golden Yarrow,PH,Asteraceae
Eriophyllum lanatum,Woolly Sunflower,PH,Asteraceae
Erodium botrys,Broadleaf Filaree,AH,Geraniaceae
Erodium cicutarium,Redstem Filaree,AH,Geraniaceae
Eryngium spp.,Coyote Thistle,PH,Apiaceae
Erysimum capitatum,Western Wallflower,AH/BH,Brassicaceae
Erythranthe guttata ,Common Streamside Monkeyflower,A/PH,Phrymaceae
Erythronium spp.,Fawn Lily,PG,Liliaceae
Eschscholzia californica,California Poppy,AH,Papaveraceae
Eucalyptus camaldulensis,River Red Gum,T,Myrtaceae
Eucalyptus globulus,Tasmanian Blue Gum,T,Myrtaceae
Euphorbia  spp.,Spurges,PH,Euphorbiaceae
Euthamia occidentalis,Western Goldenrod,PH,Asteraceae
Extriplex  californica,California Orach,S,Chenopodiaceae
Festuca arundinacea,Tall Fescue,PG,Poaceae
Festuca californica,California Fescue,PG,Poaceae
Festuca idahoensis,Blue Fescue,PG,Poaceae
Festuca rubra,Red Fescue,PG,Poaceae
Ficus carica,Common Fig,T/S,Moraceae
Foeniculum vulgare,Sweet Fennel,PH,Apiaceae
Frangula californica ssp. tomentella,Hoary Coffeeberry,S,Rhamnaceae
Frankenia salina,Alkali Heath,PH,Frankeniaceae
Fraxinus dipetala,California Flowering Ash,T,Oleaceae
Fraxinus latifolia,Oregon Ash,T,Oleaceae
Fremontodendron californicum,California Flannel Bush,S,Malvaceae
Fritillaria spp.,Fritillaria,PG,Liliaceae
Galium spp.,Bedstraws,S,Rubiaceae
Galium andrewsii,"Pine Mat, Phlox-leaved Bedstraw",PH,Rubiaceae
Galium aparine,Goosegrass,AH,Rubiaceae
Garrya spp.,Silk-tassel Bushes,S,Garryaceae
Gaultheria shallon,Salal,S,Ericaceae
Gayophytum diffusum,Diffuse Gayophytum,AH,Onagraceae
Genista monspessulana,French Broom,S,Fabaceae
Gilia capitata ssp. abrotanifolia,Blue Field Gilia,AH,Polemoniaceae
Gilia ochroleuca,Desert Gilia,AH,Polemoniaceae
Gilia tricolor,Bird's Eye Gilia,AH,Polemoniaceae
Gnaphalium palustre,Lowland Cudweed,AH,Asteraceae
Hazardia squarrosa,Sawtooth Goldenbush,S,Asteraceae
Hedera spp.,Ivy,PV,Araliaceae
Helenium bigelovii,Sneezeweed,PH,Asteraceae
Helianthus annuus,Common Sunflower,AH,Asteraceae
Helminthotheca  echioides,Bristly Ox-tongue,AH,Asteraceae
Heracleum maximum,Cowparsnip,PH,Apiaceae
Hesperocyparis spp.,Cypress,T,Cupressaceae
Hesperoyucca whipplei,Our Lord’s Candle,S,Agavaceae
Heteromeles arbutifolia,"Toyon, Christmas Holly,",S,Rosaceae
Heterotheca grandiflora,Telegraph Weed,PH,Asteraceae
Heterotheca sessiliflora,Hairy Goldenaster,PH,Asteraceae
Heuchera micrantha,Crevice Alumroot,PH,Saxifragaceae
Hirschfeldia incana,Summer Mustard,PH,Brassicaceae
Holocarpha virgata,Common Tarweed,AH,Asteraceae
Holodiscus discolor,Cream Bush,S,Rosaceae
Hordeum marinum,Mediterranean Barley,AG,Poaceae
Hordeum murinum,Summer Barley,AG,Poaceae
Hypericum perforatum,St. John's Wort,PH,Hypericaceae
Ipomopsis aggregata,Scarlet Gilia,PH,Polemoniaceae
Iris douglasiana,Douglas Iris,PG,Iridaceae
Iris macrosiphon,Ground Iris,PG,Iridaceae
Iris missouriensis,Missouri Iris,PG,Iridaceae
Iris pseudacorus,Iris,PG,Iridaceae
Isocoma menziesii,Coastal Goldenbush,S,Asteraceae
Juglans californica,Southern California Black Walnut,T,Juglandaceae
Juglans hindsii,Northern California Black Walnut,T,Juglandaceae
Juncus balticus,Baltic Rush,PG,Juncaceae
Juncus bufonius,Common Toad Rush,AG,Juncaceae
Juncus mexicanus,"Mexican Rush, Wire Grass",PG,Juncaceae
Juncus xiphioides,Iris-leaved Rush,PG,Juncaceae
Juniperus californica,California Juniper,S,Cupressaceae
Juniperus occidentalis,Western Juniper,S,Cupressaceae
Kalmia polifolia,Mountain Laurel,S,Ericaceae
Keckiella spp.,Bush Penstemons,S,Plantaginaceae
Koeleria macrantha,Junegrass,PG,Poaceae
Lactuca serriola,Prickly Wild Lettuce,AH,Asteraceae
Lamarckia aurea,Goldentop,AG,Poaceae
Larrea tridentata,Creosote Bush,S,Zygophyllaceae
Lasthenia spp.,Goldfields,AH,Asteraceae
Lathyrus latifolius,Everlasting Pea,PV,Fabaceae
Lathyrus sulphureus,Snub Pea,PV,Fabaceae
Lathyrus vestitus,Pacific Peavine,PV,Fabaceae
Layia glandulosa,White Layia,AH,Asteraceae
Lepidospartum squamatum,Scalebroom,S,Asteraceae
Leptosiphon aureus,Desert Gold,AH,Polemoniaceae
Leptosiphon parviflorus,Yellow Linanthus,AH,Polemoniaceae
Leptosyne bigelovii,Bigelow Coreopsis,AH,Asteraceae
Lilium humboldtii,Humboldt Lily,PG,Liliaceae
Lilium pardalinum,Leopard Lily,PG,Liliaceae
Limnanthes alba,White Meadowfoam,AH,Limnanthaceae
Linanthus pungens,Granite Prickly Phlox,S,Polemoniaceae
Linaria dalmatica,Dalmatian Toadflax,PH,Linaceae
Lolium multiflorum ,Italian Ryegrass,AG,Poaceae
Lomatium dasycarpum,Hog Fennel,PH,Apiaceae
Lonicera interrupta,Chaparral Honeysuckle,PV,Caprifoliaceae
Lonicera involucrata,Twinberry Honeysuckle,S,Caprifoliaceae
Lonicera subspicata,Southern or San Diego,S,Caprifoliaceae
Lupinus spp.,Lupines,S,Fabaceae
Lysimachia arvensis,Scarlet Pimpernel,AH,Myrsinaceae
Lythrum hyssopifolia,Hyssop Loosestrife,PH,Lythraceae
Lythrum salicaria,Purple Loosestrife,PH,Lythraceae
Madia elegans,Common Tarplant or Madia,AH,Asteraceae
Maianthemum racemosum,False Solomon Seal,PH,Ruscaceae
Malacothamnus spp.,Bushmallows,S,Malvaceae
Malacothrix coulteri,Snake Heads,AH,Asteraceae
Malacothrix saxatilis,Tenuated Cliff-aster,PH,Asteraceae
Malosma laurina,Laurelleaf Sumac,S,Anacardiaceae
Malva parviflora,Cheeseweed,AH,Malvaceae
Marah fabacea,California Man-root,PV,Cucurbitaceae
Marrubium vulgare,White Horehound,S,Lamiaceae
Marsilea vestita,Hairy Waterclover,PF,Marsileaceae
Matricaria discoidea,Pineappleweed,AH,Asteraceae
Medicago polymorpha,Common Burclover,AH,Fabaceae
Melica californica,California Melic Grass,PG,Poaceae
Melica imperfecta,Coast Melic Grass,PG,Poaceae
Melilotus alba,White Sweetclover,A/BH,Fabaceae
