Scientific Name,Common Name,Habit,Family
Stephanomeria virgata,Twiggy Wreath Plant,AH,Asteraceae
Stipa hymenoides,Indian Ricegrass,PG,Poaceae
Stipa miliacea,Smilo Grass,PG,Poaceae
Stipa pulchra,Purple Needlegrass,PG,Poaceae
Streptanthus tortuosus,Mountain Jewelflower,AH/PH,Brassicaceae
Suaeda nigra,Bush Seepweed,S,Chenopodiaceae
Suaeda taxifolia,Woolly Seablite,S,Chenopodiaceae
Tamarix spp.,Tamarisks,T/S,Tamaricaceae
Tauschia spp.,Tauschias,PH,Apiaceae
Taxus brevifolia,Pacific Yew,T,Taxaceae
Thermopsis californica,California False-lupine,PH,Fabaceae
Thysanocarpus spp.,Fringe & Lace Pods,AH,Brassicaceae
Torilis arvensis,Hedge Parsley,AH,Apiaceae
Toxicodendron diversilobum,Western Poison Oak,S/V,Anacardiaceae
Toxicoscordion  fremontii,Star Lily,PH,Melanthiaceae
Tribulus terrestris,Puncture Vine,AH,Zygophyllaceae
Trichostema lanatum,"Woolly Bluecurls, Romero",S,Lamiaceae
Trifolium spp.,Clovers,AH,Fabaceae
Triphysaria eriantha,Johnny-tuck,AH,Plantaginaceae
Triteleia hyacinthina,Wild Hyacinth,PH,Themidaceae
Triteleia laxa,"Grass Nuts, Ithuriel's spear",PH,Themidaceae
Tsuga mertensiana,Western Hemlock,T,Pinaceae
Typha spp.,Cattail,PH,Typhaceae
Umbellularia californica,California Bay,T,Lauraceae
Uropappus lindleyi,Silver Puffs,AH,Asteraceae
Urtica dioica ssp. holosericea,Hoary or Giant Stinging Nettle,PH,Urticaceae
Vaccinium ovatum,Evergreen Huckleberry,S,Ericaceae
Vaccinium parvifolium,Red Huckleberry,S,Ericaceae
Veratrum californicum,California Corn-lily,PH,Melanthiaceae
Verbascum thapsus,Woolly Mullein,BH,Scrophulariaceae
Verbena lasiostachys,Western Verbena,AH,Verbenaceae
Veronica anagallis-aquatica,Water or Common Speedwell,PH,Plantaginaceae
Veronica peregrina ssp. xalapensis,Purslane Speedwell,AH,Plantaginaceae
Vicia sativa,Common Vetch,AH,Fabaceae
Vicia villosa,Winter/Hairy Vetch,AH,Fabaceae
Viola purpurea,Goosefoot Violet,PH,Violaceae
Vitis californica,California Wild Grape,PV,Vitaceae
Vulpia  spp.,Fescue,AG,Poaceae
Washingtonia robusta,Mexican Fan Palm,T,Arecaceae
Woodwardia fimbriata,Giant Chain Fern,PF,Blechnaceae
Wyethia ssp.,Mule Ears,PH,Asteraceae
Xanthium spp.,Spiny or Spring Clotbur,AH,Asteraceae
Yucca brevifolia,Joshua Tree,T,Agavaceae
