Term,Definition
Rhus integrifolia,Lemonade Berry
Taxus brevifolia,Pacific Yew
Arceuthobium campylopodum,Western Dwarf Mistletoe
Thysanocarpus,Fringe & Lace Pods
Ribes aureum,Golden Currant
Ribes roezlii,Sierra Gooseberry
Calystegia,Morning-glorys
Adiantum jordanii,California Maidenhair
Robinia pseudoacacia,Black Locust
Capsella bursa-pastoris,Shepherd's Purse
Chamaebatia foliolosa,Mountain Misery
Daucus pusillus,Southwestern Carrot
Ricinus communis,Castor Bean
Keckiella,Bush Penstemons
Penstemon centranthifolius,Scarlet Bugler
Camissonia campestris,Mojave Sun-cup
Lomatium dasycarpum,Hog Fennel
Sanicula bipinnatifida,Purple Sanicle
Torilis arvensis,Hedge Parsley
Achyrachaena mollis,Blow-Wives
Madia elegans,Common Tarplant or Madia
Stephanomeria virgata,Twiggy Wreath Plant
Crassula connata,Pygmy [Sand-]Weed
Cuscuta californica,California Dodder
Pickeringia montana,Chaparral Pea
Erodium botrys,Broadleaf Filaree
Eriodictyon californicum,California Yerba Santa
Juncus bufonius,Common Toad Rush
Juncus xiphioides,Iris-leaved Rush
Pogogyne,Mesamint
Lilium pardalinum,Leopard Lily
Triteleia hyacinthina,Wild Hyacinth
Malacothamnus,Bushmallows
Briza,Quaking Grasses
Festuca californica,California Fescue
Hordeum marinum,Mediterranean Barley
Koeleria macrantha,Junegrass
Melica californica,California Melic Grass
Polypogon monspeliensis,Rabbistsfoot or Annual Beardgrass
Poa secunda,One-sided Bluegrass
Pellaea andromedifolia,Coffee Fern
Pellaea mucronata,Birdsfoot Cliffbrake or Fern
Rhamnus crocea,Spiny Redberry
Prunus ilicifolia,Hollyleaf Cherry
Cordylanthus rigidus,Rigid Birds-beak
Ailanthus altissima,Tree of Heaven
Vicia villosa,Winter/Hairy Vetch
Schinus molle,Peruvian Pepper Tree
Amorpha californica,California False Indigo
Rhododendron macrophyllum,Coast Rhododendron
Cynara cardunculus,Artichoke Thistle
Eryngium,Coyote Thistle
Iris missouriensis,Missouri Iris
Sambucus racemosa,Red Elderberry
Caulanthus inflatus,Desert Candle
Opuntia basilaris,Beavertail Cactus
Juniperus californica,California Juniper
Ephedra viridis,Green Ephedra or Mormon-tea
Pinus monophylla,Singleleaf Pinyon Pine
Salsola tragus,"Russian Thistle, Tumbleweed"
Agoseris retrorsa,Spear-leaved Mountain Dandelion
Ambrosia acanthicarpa,"Burweed, Annual Bur-sage"
Artemisia dracunculus,"Tarragon, Dragon Tarragon"
Baccharis salicifolia,"Mulefat, Seep-willow, Water-wally"
Blennosperma nanum,Common Stickyseed
